comment_text,labels
Chắc cười ko ngậm đc mồm quá; toàn thủ phạm gây cười tập trung. Nhanh trình làng đi thôi... chưa xem đã cười rách mồm rồi...😆😆😆,2
Bọn này chỉ hát hò múa thôi,0
Gai con mắt,0
Đám gừng sỉ này diễn ghê quá,0
Trờiii ơiu,2
điiiiiii,1
Như cc,0
Hà Nội cũng muốn gặp #SOOBIN ạ😭,2
Mấy thằng điên còn điên,0
Khùng hết rồi,0
huhu chớt mấc em bị fomoo em cũng mún điii,2
Mong chờ quá. #SOOBIN #SaoNhapNguConcert #SNNConcert,2
giết t đi,0
lổ rồi lên map liền đi ạ  #SOOBIN #SaoNhapNguConcert #SNNConcert,2
Quá wow rồi:)),2
Bạng toy eiiii Puta Trần tháng 9 chưa đến t8 đã có concert =)))),1
trời ơi cho sốp đu dc k,2
Khùng thật sự,0
Ctrinh làm ơn phần nào có mặt LND cắt hoặc che đi giùm tôi;loại người này thời chiến tranh chắc theo phe giặc nhanh lắm,0
line up còn ai không ạ 😭😭😭,1
Khách mời #lehoanghiep 1 cú chắc chấn động cả nước quá 🤣,2
Rồi lại hốt 1 mớ tiền,0
Uây yêu duo trứng luộc trứng rán SOOBIN và Bùi Công Nam,2
kìa bà nói có liền,1
Có lẽ nào sẽ có Tiến Hay Lùi?  #BuiCongNam #SOOBIN  #SaoNhapNgu #SaoNhapNgu2025 #SaoNhapNguConcert #SNNConcert,1
giá ok á,1
Ôi Sao Nhập Ngũ mang cả concert ra HN cho con dân HN quẩy với ạ😍😍😍 #SOOBIN #SaoNhapNgu #SaoNhapNguConcert,2
Phí tiền quốc gia để trình diễn cho bọn ất ơ này.,0
NHẬN CAMP VÉ A,0
Kakaa Đ/c Khải đây r🤣,2
Chuẩn bị gặp anh PewPew thôi,2
Ui Trứng luộc trứng rán của tui 🥺,2
Sốp nhận camp vé công hạt dẻ check legit đầy đủ ạ,0
tôi cần setlist để biết Jun Phạm diễn cánh trái hay cánh phải!!!!!!!!!!!!!,1
bên minh nhận camp all zone ạ; gdtt HCM bạn nào cần ib nha,0
hjhjhjjj🌾🌾🌾🕳🕳🕳⚘️⚘️⚘️⚘️⚘️⚘️⚘️,2
Tộc trưởng Độ Mixiiiii,1
Con nhà nòi đây,1
Hóng đồng chí Tăng Vũ Minh Phúc,2
Double 2t,1
Đồng chí Đỗ Hải Đăng xin chàoooo! Đoàn kết!!! 🇻🇳🇻🇳🇻🇳🇻🇳🇻🇳 Chúc chương trình thành công rực rỡ ahhhh,2
Mong chờ sự xuất hiện của đồng chí Tăng Vũ Minh Phúc   #TangPhuc #SaoNhapNgu #SaoNhapNgu2025,2
Thằng bê đê này làm màu vcl,0
Concert này có Tổng Đạo diễn lên hát ko ạ?,1
Chờ đồng chí Tăng Phúc 💕,2
F8BET Tặng 58K tr_ải ngh.iệm khi đ.ăng ký t.ài kho.ản khi tham gia N.Ổ H.Ũ - B.ẮN C.Á https://f8betc6.com/spf,0
Thằng 3d yếu ớt k bằng mấy chị em phụ nữ.làm trò làm màu,0
Ủng hộ đồng chí Đỗ Hải Đăng,2
Có PewPew và Mạc Văn Khoa là hay rồi đấy😂,2
Nhìn thằng mạc anh khoa chối l thật.vậy thôi mấy nữa lại thành nghệ sỹ,0
Mong chờ đồng chí Tăng Phúc,2
N.ạp đầ u từ 10 0.Đ thưở.ng n.óng 18.8.8 8k chỉ có tại O.K 9 https://ok9sport.shop/napdauvip  B3i 89f   83933,0
